2024-09-01 19:16:42 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: invalid CA certificate (_ssl.c:1007)'))': /api/4504800232407040/envelope/
2024-09-01 19:16:43 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: invalid CA certificate (_ssl.c:1007)'))': /api/4504800232407040/envelope/
2024-09-01 19:16:43 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: invalid CA certificate (_ssl.c:1007)'))': /api/4504800232407040/envelope/
2024-09-01 19:16:43 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: invalid CA certificate (_ssl.c:1007)'))': /api/4504800232407040/envelope/
2024-09-01 19:16:44 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: invalid CA certificate (_ssl.c:1007)'))': /api/4504800232407040/envelope/
2024-09-01 19:16:44 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: invalid CA certificate (_ssl.c:1007)'))': /api/4504800232407040/envelope/
2024-09-02 12:40:14 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10f457310>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:40:14 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10f457400>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:40:14 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10f457520>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:40:14 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10f457a00>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:40:14 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10f455ba0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:40:14 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10f455d50>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:43:14 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1145cf310>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:43:14 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1145cf400>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:43:14 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1145cf520>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:43:14 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1145cfa00>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:43:14 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1145cfa90>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:43:14 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1145cfbb0>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:49:00 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x106e7b610>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:49:00 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x106e7b700>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:49:00 WARNING Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x106e7b820>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:49:00 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x106e7bd00>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
2024-09-02 12:49:00 WARNING Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x106e7bd90>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known')': /api/4504800232407040/envelope/
